,CountryCode,IataCode,CityCode,CityName,AirportName
0,CA,YGZ,YGZ,Grise Fiord,Grise Fiord
1,TR,HTY,HTY,Hatay Province,Hatay
2,US,LNY,LNY,Lanai,Lanai
3,RU,IAA,IAA,Igarka,Igarka
4,NL,MST,MST,Maastricht,Maastricht Aachen
5,AU,WYA,WYA,Whyalla,Whyalla
6,UA,OZH,OZH,Zaporizhia,Zaporizhia International
7,IN,IMF,IMF,Imphal,Imphal International
8,BR,RVD,RVD,"Rio Verde, Goiás",Rio Verde
9,JP,OKD,SPK,Sapporo,Okadama
10,JP,KOJ,KOJ,Kagoshima,Kagoshima
11,MX,REX,REX,Reynosa,General Lucio Blanco International
12,CN,CZX,CZX,Changzhou,Changzhou Benniu
13,HR,OSI,OSI,Osijek,Osijek
14,TR,USQ,USQ,Usak,Uşak
15,EC,ETR,ETR,Santa Rosa Canton,Santa Rosa International
16,IN,BHO,BHO,Bhopal,Raja Bhoj
17,SE,VBY,VBY,Visby,Visby
18,AU,WTB,TWB,Toowoomba,Brisbane West Wellcamp
19,VC,SVD,SVD,Saint Vincent,Argyle International Airport
20,MX,MTT,MTT,Minatitlán,Minatitlán/Coatzacoalcos International
21,GY,OGL,GEO,Georgetown,Ogle
22,US,BZN,BZN,Bozeman,Bozeman Yellowstone International
23,CN,HJJ,HJJ,Huaihua,Huaihua Zhijiang
24,RU,NYR,NYR,Nyurba,Nyurba
25,FR,LIL,LIL,Lille,Lille
26,IQ,NJF,NJF,Najaf,Al Najaf International
27,CA,ZUM,ZUM,Churchill Falls,Churchill Falls
28,US,BTR,BTR,Baton Rouge,Baton Rouge Metropolitan
29,SG,XSP,XSP,Seletar,Seletar Airport
30,CO,LET,LET,"Leticia, Amazonas",Alfredo Vásquez Cobo International
31,US,HYS,HYS,Hays,Hays Regional
32,PA,PTY,PTY,Panama City,Tocumen International
33,MY,MKM,MKM,Mukah,Mukah
34,US,USA,USA,Concord,Concord Regional
35,US,MSY,MSY,New Orleans,Louis Armstrong New Orleans International
36,AR,IRJ,IRJ,La Rioja,La Rioja
37,NC,KNQ,KNQ,Kone,Kone Airport
38,BR,IMP,IMP,Imperatriz,Imperatriz
39,FJ,LBS,LBS,Labasa,Labasa
40,PE,CUZ,CUZ,Cusco,Alejandro Velasco Astete International
41,CA,XBE,XBE,Bearskin Lake,Bearskin Lake
42,BR,TBT,TBT,Tabatinga,Tabatinga International
43,GL,JHS,JHS,Sisimiut,Sisimiut
44,ID,DTB,DTB,Siborong-Borong,Silangit International
45,HU,BUD,BUD,Budapest,Budapest Ferenc Liszt International
46,ID,BTH,BTH,Batam,Hang Nadim
47,RU,NAL,NAL,Nalchik,Nalchik
48,CN,RIZ,RIZ,Rizhao,Rizhao Shanzihe
49,CA,YVO,YVO,Val-d Or,Val-d Or
50,JP,TKN,TKN,Tokunoshima,Tokunoshima
51,EC,GYE,GYE,Guayaquil,José Joaquín de Olmedo International
52,IT,FLR,FLR,Florence,Florence
53,NZ,PPQ,PPQ,Paraparaumu,Kapiti Coast
54,CN,DNH,DNH,Dunhuang,Dunhuang
55,IN,STV,STV,Surat,Surat
56,NO,RET,RET,Røst,Røst
57,TR,GNY,SFQ,Şanlıurfa,Sanliurfa
58,ES,IBZ,IBZ,Ibiza,Ibiza
59,PG,MDU,MDU,Mendi,Mendi
60,CN,YIH,YIH,Yichang,Yichang Sanxia
61,JP,NGS,NGS,Nagasaki,Nagasaki
62,AG,ANU,ANU,Antigua,V. C. Bird International
63,VU,TOH,TOH,Torres Islands,Torres
64,FI,JOE,JOE,Joensuu,Joensuu
65,SE,LLA,LLA,Luleå,Luleå
66,JP,TKS,TKS,Tokushima,Tokushima
67,SE,LPI,LPI,Linköping,Linköping City
68,US,JNU,JNU,Juneau,Juneau International
69,GR,KLX,KLX,Kalamata,Kalamata International
70,MY,KUA,KUA,Kuantan,Sultan Haji Ahmad Shah
71,US,NRR,NRR,Roosevelt Roads Naval Station,José Aponte de la Torre
72,LC,UVF,SLU,Saint Lucia,Hewanorra International
73,JP,UBJ,UBJ,Ube,Yamaguchi Ube
74,NG,ABV,ABV,Abuja,Nnamdi Azikiwe International
75,CI,ABJ,ABJ,Abidjan,Port Bouet
76,CN,JMJ,JMJ,Lancang Lahu Autonomous County,Lancang Jingmai Airport
