,USER_ID,SESSION_ID,TIMESTAMP,ITEM_ID,EVENT_TYPE,EVENT_VALUE,SERVICE_TYPE,USER_LOCATION,SERVICE_LOCATION,SERVICE_TIME,SERVICE_PRICE
0,505b2165-5089-4ba1-85d9-ab0eedddb6ff,281f25c8-1544-4ad1-a982-5ece2268b6de,1569177000,JAI,Booking,0.99,FLIGHTS,DEN,JAI,1577039400,104
1,08222a83-0c5d-4cfc-a6c5-9575311ceb90,69d091f2-0637-4d10-bf25-a716c998a241,1572460200,SUA,Search,0.33,FLIGHTS,BAR,SUA,1577385000,0
2,4da565db-a67e-4a17-a9a6-147a5970deba,0856c5b5-cef7-4418-a2fb-b3483d7d9ad3,1562005800,NAN,Booking,0.99,FLIGHTS,CAE,NAN,1577385000,69
3,0997c076-4119-46e1-90e0-7acc29c1d606,b112167c-f1de-42e7-b28a-03cd32cc0a94,1558377000,GUA,View,0.66,FLIGHTS,LPQ,GUA,1576261800,88
4,88276c52-b138-4576-8e9e-d75a05bbf1aa,fe214225-aa76-47c2-a9e8-de4b041a8302,1572546600,AYP,Search,0.33,FLIGHTS,LMN,AYP,1575484200,0
5,3f960fd1-33db-4aa5-8105-cd502d10302b,e75c288b-e208-46ea-b5fb-8a8d8172b3e1,1555785000,MLB,Search,0.33,FLIGHTS,LMP,MLB,1576175400,0
6,6861966e-930e-4a42-ab6e-eed13e3d3be4,35bca8d2-d380-4ce8-b15e-c5722d7339fd,1568399400,VIA,Booking,0.99,FLIGHTS,BIN,VIA,1576348200,110
7,6861966e-930e-4a42-ab6e-eed13e3d3be4,2ebdc9ec-5591-493d-9ebd-c4e60568d84a,1564857000,CHX,Search,0.33,FLIGHTS,NKM,CHX,1577557800,0
8,f8082749-d4a8-413a-b01e-2a4b81b0fde2,ffaf2000-600a-4d81-bb59-f32880642b9e,1563906600,LEO,Booking,0.99,FLIGHTS,HAN,LEO,1576780200,52
9,08222a83-0c5d-4cfc-a6c5-9575311ceb90,df54ed4e-6c68-4e9b-ad71-3ab5ac278ae9,1568658600,ASD,Search,0.33,FLIGHTS,MAN,ASD,1577471400,0
10,17bf6154-82cf-4f89-9c86-92b138495f89,816caa88-0d49-4369-a891-e144ef74cdba,1558290600,MNL,View,0.66,FLIGHTS,STP,MNL,1577385000,60
11,12d8c4c0-a472-4da5-950b-ce02b426d32c,e30c86d6-16c8-40b1-83fd-87589d27665b,1555957800,CEN,Booking,0.99,FLIGHTS,ALC,CEN,1576780200,142
12,92008169-91d7-4e9f-919d-882058875aab,fe3349aa-f6cf-49d3-b91d-f84234b3a82a,1569263400,BNN,Booking,0.99,FLIGHTS,YHG,BNN,1577039400,95
13,8b90819a-37d6-4975-ba77-7a56c797cea2,cb985bc6-b3eb-4ede-9792-87b3a94ab823,1565202600,CPH,Booking,0.99,FLIGHTS,CND,CPH,1577471400,93
14,63796597-a6fa-4e44-b2c3-3d2bd3f7bade,8a09bd33-9dd7-4e20-ac2f-54fe722c0948,1565634600,PRI,Booking,0.99,FLIGHTS,FLL,PRI,1576953000,99
15,66d51f0e-a781-43c7-abe9-20b990606b1e,b2e46750-a739-4128-b80c-9b851f576768,1570127400,BNO,Booking,0.99,FLIGHTS,MBA,BNO,1576521000,101
16,88276c52-b138-4576-8e9e-d75a05bbf1aa,1c34402f-f74d-4e7b-8c7a-47acd8f40f19,1559068200,MNT,View,0.66,FLIGHTS,SEA,MNT,1577039400,52
17,88276c52-b138-4576-8e9e-d75a05bbf1aa,6699b679-31d7-41ba-a6d4-2c5472cc476c,1563647400,BOI,Search,0.33,FLIGHTS,ALK,BOI,1575829800,0
18,92008169-91d7-4e9f-919d-882058875aab,7ccdc313-2983-457a-a978-a2a2f6eb7138,1573842600,BRI,View,0.66,FLIGHTS,SCT,BRI,1577385000,138
19,47227935-085f-4877-8573-f56a3d7717a6,b412fafd-dde1-465c-bf26-7c1b1e949478,1557685800,BUF,View,0.66,FLIGHTS,EVN,BUF,1577039400,94
20,88276c52-b138-4576-8e9e-d75a05bbf1aa,d3d7075d-e606-4dbf-9eb5-820caece4556,1570905000,RMI,Booking,0.99,FLIGHTS,DRW,RMI,1576607400,65
21,ec36c667-e321-45ca-8694-9742edfd5a55,03551e27-5673-4fa0-84db-d54ed113b533,1565807400,COS,View,0.66,FLIGHTS,AMD,COS,1576953000,62
22,f47a94f4-47c7-4b26-8ef6-359cfd5bf7a3,2ce31c81-3ec5-46bb-8a99-cb104b0f9083,1558463400,BGO,Booking,0.99,FLIGHTS,LOG,BGO,1575311400,141
23,2457520d-1da9-4da5-b87d-d837f011897d,87d30bf7-e517-420b-a706-f723cb793793,1563647400,LON,Search,0.33,FLIGHTS,FNC,LON,1576866600,0
24,8dfd8064-c4a6-4754-bea1-8ab14d951997,67154223-ad93-485e-b735-cb3643da47e4,1556735400,CNN,Booking,0.99,FLIGHTS,SEA,CNN,1575743400,69
25,629c6321-2791-4610-83da-b30c7d8cc073,8c8b2b6d-cf31-42bd-8b55-61a2ad9b04ff,1555093800,TN1,Search,0.33,FLIGHTS,TRU,TN1,1577039400,0
26,523977a6-3b59-4e12-bb5f-bc30c0cd77d2,40157be0-02d6-499d-8032-4617b14ef16d,1556044200,TKM,Search,0.33,FLIGHTS,WUH,TKM,1576693800,0
27,3ceb7dae-803a-4f92-bd3e-c4e49232aeb2,165b8a1e-0e67-405d-bff6-a94044c7d9ec,1572373800,AE1,View,0.66,FLIGHTS,SVD,AE1,1575484200,61
28,dbe96a8d-ad17-4610-aba0-cea9dbb260e3,9b899c81-b237-496b-9279-525e675d7d98,1573237800,SYD,Booking,0.99,FLIGHTS,SXM,SYD,1577471400,67
29,505b2165-5089-4ba1-85d9-ab0eedddb6ff,9c9ca0a5-4275-4a02-9a26-21b6703e0dd0,1574965800,AKL,Search,0.33,FLIGHTS,CTG,AKL,1577471400,0
30,12d8c4c0-a472-4da5-950b-ce02b426d32c,91f76cbc-5731-4d4f-b7a5-7945fe76a01d,1559673000,HP2,Booking,0.99,FLIGHTS,PUS,HP2,1576780200,59
31,684111e4-f11e-44d3-8851-511589465b26,2e4dd848-6a1d-4ef3-a2f4-c27f0d12ae5b,1555612200,NOV,View,0.66,FLIGHTS,VIK,NOV,1576953000,68
32,4adb8637-8843-4f87-87bc-24a5f9fba412,2cc19490-7193-4370-a0b0-f975c16a5e3f,1562092200,TRS,Booking,0.99,FLIGHTS,TH4,TRS,1577039400,140
33,17bf6154-82cf-4f89-9c86-92b138495f89,c525ae50-6372-4f55-8139-91514b05255d,1566671400,ZRD,View,0.66,FLIGHTS,IST,ZRD,1577385000,149
34,c7b82162-1d60-42b7-9dc5-39d57bb506a9,29bc09ac-b9f0-4948-ab1d-12f2cf5d5466,1558809000,JM1,View,0.66,FLIGHTS,MRU,JM1,1577385000,81
35,87b49eba-3e6c-4585-8e38-ff164cdb33f6,78a54655-5d08-41e5-a965-d4d65dce1b56,1556217000,NI,Booking,0.99,FLIGHTS,SSH,NI,1577039400,149
36,0997c076-4119-46e1-90e0-7acc29c1d606,70aa7acc-4bf3-48f9-81fa-ad6f6f74caf9,1570645800,CEB,Booking,0.99,FLIGHTS,LFD,CEB,1576780200,100
37,d244f092-ebd1-4bdd-8180-b53391fe54bd,1a319d8a-5874-45b6-a9eb-e0b114fbda8b,1571596200,PIT,Booking,0.99,FLIGHTS,CTG,PIT,1577385000,68
38,b84cfa7f-aeb6-4f58-b99d-92b6a64479ff,be4cc2b6-f878-40cd-8eb5-1de6f601ee4e,1573151400,SLY,View,0.66,FLIGHTS,PDP,SLY,1576780200,116
39,86f33401-fa47-4cb0-a9be-acc56f328706,0f246d2f-d796-42f8-8316-188f24c0fed8,1554229800,DRW,Search,0.33,FLIGHTS,JDO,DRW,1577471400,0
40,0db87c03-93b8-4de1-94bd-0c4ff50e644a,b784ceee-8e02-4c75-b285-ffe49dfc8ee3,1557772200,AAZ,View,0.66,FLIGHTS,EIN,AAZ,1577298600,141
41,b61982db-4ac4-4d38-9f21-e8d3097fdaa7,80c66a6e-d10f-43b8-bb0a-015d33eb97df,1567535400,JM1,Search,0.33,FLIGHTS,KMS,JM1,1576953000,0
42,b84cfa7f-aeb6-4f58-b99d-92b6a64479ff,249ff2ff-be5a-46e9-ae05-9601653a45e4,1559586600,DDE,Search,0.33,FLIGHTS,TV1,DDE,1577385000,0
43,87b49eba-3e6c-4585-8e38-ff164cdb33f6,fc618eb4-5657-4f24-aa91-a4d0ef188421,1565289000,STG,Search,0.33,FLIGHTS,DIJ,STG,1577298600,0
44,f47a94f4-47c7-4b26-8ef6-359cfd5bf7a3,06e18312-5ef2-4cc6-8113-869406e4e575,1556649000,VF,Search,0.33,FLIGHTS,CBB,VF,1575743400,0
45,5e968f61-63dd-4b81-9cb8-2825c4c999bb,3da6e446-2446-4687-9b0e-9e36b0b6bf7a,1573756200,NCL,View,0.66,FLIGHTS,LYS,NCL,1576953000,80
46,be2fd9f8-46e1-4d4b-96a4-4bc82feccdd0,0ab3e0f9-8092-497a-a2e7-b95666dd6376,1566066600,ASD,Search,0.33,FLIGHTS,CHC,ASD,1577471400,0
47,a023f786-502e-4ce9-ac2c-969aac379c22,17013c2e-d8cf-4c56-9752-07e5bbab49db,1567967400,SCT,View,0.66,FLIGHTS,DUS,SCT,1577039400,132
48,209510a3-3fe8-4124-992e-db478ef11378,3fd3a96c-457b-4df2-b231-53d92a1c4060,1565807400,SYR,Booking,0.99,FLIGHTS,DRR,SYR,1576866600,62
49,ec36c667-e321-45ca-8694-9742edfd5a55,428af95a-0dac-4dca-8d49-c1b9e04cc68f,1559413800,PVG,Search,0.33,FLIGHTS,BNE,PVG,1575138600,0
50,88276c52-b138-4576-8e9e-d75a05bbf1aa,a22c3408-a985-45b9-8acf-9af689d55e69,1569090600,PEI,View,0.66,FLIGHTS,KNA,PEI,1577471400,83
51,8f630673-631e-4981-bf4e-af479e0130fc,b76131d7-cf07-4eaa-a6fe-27962703eb5e,1556303400,DJE,Booking,0.99,FLIGHTS,CLT,DJE,1577039400,62
52,87b49eba-3e6c-4585-8e38-ff164cdb33f6,6c7af065-163d-4e0e-af2c-dceecb5ef4f9,1574965800,JOG,Search,0.33,FLIGHTS,TFS,JOG,1576953000,0
